site	abundance	depth_m	year	period	x_coord	y_coord	area
1	76	804	1978	1	98.75575222	-57.46692454	36710
2	161	808	2001	2	76.80387976	178.6479844	45741.25391
3	39	809	2001	2	103.792826	-50.0518375	39775
4	410	848	1979	1	91.53226694	146.447969	51000
5	177	853	2002	2	107.1441892	-37.07543519	29831.25195
6	695	960	1980	1	86.56469785	-48.19806574	31880
7	352	977	1981	1	84.2175715	-51.90560926	38300
8	674	982	1979	1	90.47901492	-66.73578333	38260
9	624	985	1982	1	-5.727701468	203.9148935	44600
10	736	986	1980	1	-4.585552076	200.20735	52600
11	332	1000	2002	2	75.90372422	161.0927659	29831.25195
12	529	1016	1983	1	80.608247	-51.90560926	39900
13	355	1017	1979	1	-16.11460992	179.8158606	36660
14	178	1024	1978	1	90.47209563	140.8866537	33520
